date,transaction
2005-01-27,Atlanta Braves Signed RHP Kevin Gryboski to a one-year contract; Signed RHP Jay Powell to a minor league contract with an invitation to Spring Training.
2005-01-27,Chicago White Sox Signed Japanese INF Tadahito Iguchi to a two-year contract with a club option for 2007.
2005-01-27,Los Angeles Angels Signed C Josh Paul to a one-year contract.
2005-01-27,"Milwaukee Brewers Signed OF Brady Clark to a one-year contract, avoiding arbitration."
2005-01-27,"Minnesota Twins Re-signed C Chris Heintz, C Gabby Torres, OF Todd Dunwoody, OF Josh Rabe and RHP Willie Eyre to minor league contracts with invitations to Spring Training; Signed INF Glenn Williams to a minor league contract with invitations to Spring Training; Invited minor league INF Luis Maza to Spring Training."
2005-01-27,New York Mets Acquired 1B Doug Mientkiewicz and conditional cash from the Red Sox for nonroster 1B Ian Bladergroen.
2005-01-27,Pittsburgh Pirates Signed RHP Rick White to a minor league contract with an invitation to Spring Training.
2005-01-27,"St. Louis Cardinals Re-signed RHP Jeremy Cummings, RHP Nerio Rodriguez and C Dan Moylan to minor league contracts with invitations to Spring Training; Signed C Brad Cresse to a minor league contract with an invitation to Spring Training; Invited minor league RHP Brad Thompson, minor league C Gabe Johnson, minor league C Jason Motte and minor league OF Skip Schumaker to Spring Training."
2005-01-27,Tampa Bay Devil Rays Signed RHP Hideo Nomo to a minor league contract with an invitation to Spring Training.
2005-01-27,Washington Nationals Signed INF George Arias to a minor league contract with an invitation to Spring Training.
2005-01-28,"Arizona Diamondbacks Designated C Robby Hammock for assignment; Re-signed LHP Jon Cannon, RHP Brandon Medders, LHP Shane Nance, C Craig Ansman, C Juan Brito and C Corey Myers to minor league contracts with invitations to Spring Training; Signed LHP Kevin Tolar to a minor league contract with an invitation to Spring Training; Invited minor league OF Conor Jackson to Spring Training."
2005-01-28,Chicago White Sox Designated RHP Jason Grilli for assignment.
2005-01-28,Minnesota Twins Signed OF Armando Rios to a minor league contract with an invitation to Spring Training.
2005-01-28,New York Mets Signed LHP Mike Matthews to a minor league contract with an invitation to Spring Training.
2005-01-28,"New York Yankees Re-signed LHP Danny Borrell, 2B Homer Bush, INF Caonabo Cosme, C Jon Mark Sprowl and OF Mike Vento to minor league contracts with invitations to Spring Training; Signed C Joe DePastino, OF Doug Glanville, OF Noah Hall, C Ryan Hankins, INF Russ Johnson, C David Parrish, OF Colin Porter, INF Damian Rolls, RHP Aaron Small, RHP Marc Valdes and RHP Brad Voyles to minor league contracts with invitations to Spring Training; Invited minor league C Irwil Rojas and minor league C Omir Santos to Spring Training."
2005-01-31,Colorado Rockies Signed C Tom Wilson to a minor league contract with an invitation to Spring Training.
2005-01-31,"Detroit Tigers Agreed to terms with RHP Roberto Novoa, RHP Fernando Rodney, RHP Mark Woodyard, INF Ryan Raburn, OF Byron Gettis and OF Curtis Granderson on contracts for 2005."
2005-01-31,"New York Mets Signed LHP Scott Stewart, RHP Eric Junge and INF Jed Hansen to minor league contracts."
2005-01-31,Seattle Mariners Signed RHP Jeff Nelson to a minor league contract with an invitation to Spring Training.
2005-02-01,Baltimore Orioles Signed LHP Horacio Estrada to a minor league contract.
2005-02-01,"Boston Red Sox Signed RHP Jack Cressend, RHP Jeremi Gonzalez, C Shawn Wooten, INF Dave Berg, INF Tim Hummel and INF Kenny Perez to minor league contracts with invitations to Spring Training."
2005-02-01,Los Angeles Angels Signed LHP Mark Watson to a minor league contract with an invitation to Spring Training.
2005-02-01,"New York Mets Signed LHP Tim Hamulack, LHP Blake McGinley, C Joe Hietpas, C John Pachot and INF Danny Garcia to minor league contracts with invitations to Spring Training; Invited minor league RHP Yusmeiro Petit and C Jesus Flores to Spring Training."
2005-02-01,"Oakland Athletics Invited minor league RHP Brad Sullivan, C Daric Barton, C Kurt Suzuki, IF Omar Quintanilla, IF Brian Snyder, and OF Richie Robnet to Spring Training."
2005-02-01,Philadelphia Phillies Reassigned LHP Cole Hamels to minor league camp after he broke his throwing hand.
2005-02-01,Tampa Bay Devil Rays Agreed to terms with RHP Jesus Colome on a one-year contract.
2005-02-02,"Baltimore Orioles Acquired OF Sammy Sosa from Chicago Cubs for OF Jerry Hairston, INF Mike Fontenot and RHP Dave Crouthers."
2005-02-02,Chicago Cubs Signed OF Jeromy Burnitz to a one-year contract with a mutual option for 2006.
2005-02-02,"Acquired INF/OF Jerry Hairston, INF Mike Fontenot and RHP Dave Crouthers from the Orioles for OF Sammy Sosa and cash considerations."
2005-02-02,Cleveland Indians Acquired 3B Jake Gautreau from the Padres for 3B Corey Smith and invited him to Spring Training.
2005-02-02,Florida Marlins Signed RHP Jim Mecir to a one-year contract and designated RHP Kevin Cave for assignment.
2005-02-02,"Philadelphia Phillies Signed RHP Martire Franco, RHP Dan Giese, C Chris Coste, C A.J. Hinch, INF Anthony Medrano, INF Danny Sandoval, OF Mark Budzinski, OF John Castellano and OF Jim Rushford to minor league contracts with invitations to Spring Training."
2005-02-02,San Diego Padres Acquired IF Corey Smith from the Cleveland Indians for IF Jake Gautreau.
2005-02-03,Colorado Rockies Signed RHP Scott Chiasson and C Pascual Matos to minor league contracts with invitations to Spring Training.
2005-02-03,Los Angeles Dodgers Agreed to terms with Japanese 3B Norihiro Nakamura on a one-year minor league contract with an invitation to Spring Training.
2005-02-03,"Pittsburgh Pirates Signed RHP Justin Reid, INF Howie Clark and OF Rich Thompson to minor league contracts with invitations to Spring Training; Invited minor league RHP Bryan Bullington, LHP Jeremy Harts, LHP Paul Maholm and C Neil Walker to Spring Training."
