date,transaction
2006-01-16,St. Louis Cardinals Signed RHP Jeff Nelson to a Minor League contract with an invitation to Spring Training.
2006-01-16,"Texas Rangers Signed C Rod Barajas to a one-year contract for 2006, avoiding arbitration."
2006-01-16,"Toronto Blue Jays Signed 1B Lyle Overbay to a one-year, $2.525 million contract and LHP Scott Downs to a one-year, $705,000 contract."
2006-01-17,"Arizona Diamondbacks Signed RHPs Brandon Lyon and Claudio Vargas, C Johnny Estrada and INFs Orlando Hudson and Alex Cintron to one-year contracts."
2006-01-17,"Atlanta Braves Signed INF Marcus Giles, LHP Horacio Ramirez and RHP Oscar Villarreal to one-year contracts, thus avoiding salary arbitration."
2006-01-17,Baltimore Orioles Sent LHP Brian Burres outright to Triple-A Ottawa and invited him to Spring Training.
2006-01-17,"Signed Bruce Chen, Erik Bedard, Todd Williams and Corey Patterson to one-year contracts."
2006-01-17,Boston Red Sox Signed RHP Guillermo Mota to a one-year contract.
2006-01-17,"Chicago White Sox Signed 3B Joe Crede to a one-year contract, avoiding arbitration."
2006-01-17,"Cincinnati Reds Agreed a one-year contract with RHP Aaron Harang, avoiding arbitration."
2006-01-17,"Cleveland Indians Acquired RHP Edward ""Bubbie"" Buzachero from the Blue Jays in exchange for LHP Brian Tallet."
2006-01-17,"Signed RHP David Riske to a one-year contract, avoiding arbitration."
2006-01-17,Colorado Rockies Signed RHP Zach Day to a one-year contract.
2006-01-17,Houston Astros Signed RHPs Brad Lidge and Dan Wheeler to one-year contracts.
2006-01-17,"Kansas City Royals Signed RHP Runelvys Hernandez and LHP Jeremy Affeldt to one-year contracts, avoiding arbitration."
2006-01-17,Los Angeles Angels Signed RHP Francisco Rodriguez and RHP Scot Shields to one-year contracts.
2006-01-17,Milwaukee Brewers Announced that INF Russell Branyan cleared waivers and was released.
2006-01-17,Oakland Athletics Signed RHP Juan Cruz and C Adam Melhuse to one-year contracts.
2006-01-17,"Pittsburgh Pirates Signed RHP Kip Wells to a one-year contract, avoiding arbitration."
